CRS,REGIAOSAU,ID_MUN,MUNICIPIO,TRAB_SAUDE,MAIOR_60,ENTRE_18_59,MENOR_17,INDIGENAS,RIBEIRINHOS,QUILOMBOLA,TOTAL_PESSOAS,,D_APLICADAS,COBERTURA_VAC,TRAB_SAUDE_vac,MAIOR_60_vac
6ª CRS - BARCARENA,TOCANTINS,150010,ABAETETUBA,1967,1946,10943,1794,0,2330,11390,30370,,2471,,590,583,8
11ª CRS - MARABA,CARAJÁS,150013,ABEL FIGUEIREDO,119,97,562,101,0,0,0,879,,166,,36,29,1
2ª CRS - SANTA IZABEL,METROPOLITANA II,150020,ACARA,459,551,3194,593,0,0,6421,11218,,1099,,138,165,3
7ª CRS - BELEM,MARAJO I,150030,AFUA,407,335,1899,323,0,29,0,2993,,743,,122,100,5
12ª CRS - C ARAGUAIA,ARAGUAIA,150034,AGUA AZUL DO NORTE,191,117,1206,157,0,0,0,1671,,131,,57,35,1
9ª CRS - SANTAREM,BAIXO AMAZONAS,150040,ALENQUER,637,821,4011,726,0,0,1454,7649,,984,,191,246,3
9ª CRS - SANTAREM,BAIXO AMAZONAS,150050,ALMEIRIM,344,319,2276,318,600,0,0,3857,,1107,,103,95,7
10ª CRS - ALTAMIRA,XINGU,150060,ALTAMIRA,3807,1241,8296,1178,1942,0,0,16464,,4483,,1142,372,3
8ª CRS - BREVES,MARAJO II,150070,ANAJAS,225,214,1299,223,0,0,0,1961,,890,,68,64,2
1ª CRS - BELEM,METROPOLITANA I,150080,ANANINDEUA,9382,5466,44486,5595,0,432,529,65890,,7946,,2815,1639,8
10ª CRS - ALTAMIRA,XINGU,150085,ANAPU,312,162,1498,203,378,0,0,2553,,1129,,94,48,6
4ª CRS - CAPANEMA,RIO CAETES,150090,AUGUSTO CORREA,413,463,2763,471,0,0,156,4266,,1094,,124,138,9
5ª CRS - SAO MIGUEL,METROPOLITANA III,150095,AURORA DO PARA,238,279,1850,315,27,0,274,2983,,515,,71,83,7
9ª CRS - SANTAREM,TAPAJOS,150100,AVEIRO,152,220,1188,210,305,0,0,2075,,464,,46,66
8ª CRS - BREVES,MARAJO II,150110,BAGRE,253,153,1181,170,0,1478,302,3537,,793,,76,45,9
13ª CRS - CAMETA,TOCANTINS,150120,BAIAO,399,398,2642,422,39,0,8332,12232,,598,,120,119,4
12ª CRS - C ARAGUAIA,ARAGUAIA,150125,BANNACH,90,46,352,51,86,0,0,625,,93,,27,13,8
6ª CRS - BARCARENA,TOCANTINS,150130,BARCARENA,2280,952,7143,923,0,5496,238,17032,,3824,,684,285,6
1ª CRS - BELEM,METROPOLITANA I,150140,BELEM,59391,26178,150032,22940,0,4976,704,264221,,31426,,17817,7853,4
9ª CRS - SANTAREM,BAIXO AMAZONAS,150145,BELTERRA,156,312,1476,262,303,1695,0,4204,,455,,47,93,6
1ª CRS - BELEM,METROPOLITANA I,150150,BENEVIDES,733,623,4174,586,0,517,0,6633,,942,,220,186,9
