CRS,MUNICIPIO,TRAB_SAUDE_TOTAL,TRAB_SAUDE_40,INDIGENAS,MAIOR_60,TOTAL
1º CRS,ANANINDEUA,9071,3628,0,11,3639
1º CRS,BELEM,48970,19588,0,172,19760
1º CRS,BENEVIDES,680,272,0,0,272
1º CRS,MARITUBA,1843,737,0,43,780
1º CRS,SANTA BARBARA DO PARA,273,109,0,0,109
2º CRS,ACARA,450,180,0,0,180
2º CRS,BUJARU,190,76,0,0,76
2º CRS,COLARES,158,63,0,0,63
2º CRS,CONCORDIA DO PARA,302,121,0,0,121
2º CRS,SANTA ISABEL DO PARA,943,377,0,0,377
2º CRS,SANTO ANTONIO DO TAUA,298,119,0,0,119
2º CRS,SAO CAETANO DE ODIVELAS,182,73,0,0,73
2º CRS,TOME-ACU,798,319,357,4,680
2º CRS,VIGIA,610,244,0,0,244
3ºCRS,CASTANHAL,3520,1408,0,38,1446
3ºCRS,CURUCA,441,176,0,0,176
3ºCRS,IGARAPE-ACU,477,191,0,0,191
3ºCRS,INHANGAPI,127,51,0,0,51
3ºCRS,MAGALHAES BARATA,99,40,0,0,40
3ºCRS,MARACANA,312,125,0,0,125
3ºCRS,MARAPANIM,526,210,0,0,210
3ºCRS,SAO DOMINGOS DO CAPIM,304,122,0,0,122
3ºCRS,SAO FRANCISCO DO PARA,255,102,0,0,102
3ºCRS,SAO JOAO DA PONTA,73,29,0,0,29
3ºCRS,TERRA ALTA,121,48,0,0,48
4º CRS,AUGUSTO CORREA,433,173,0,0,173
4º CRS,BONITO,136,54,0,0,54
4º CRS,BRAGANCA,1872,749,0,0,749
4º CRS,CACHOEIRA DO PIRIA,272,109,0,0,109
4º CRS,CAPANEMA,2038,815,0,19,834
4º CRS,NOVA TIMBOTEUA,185,74,0,0,74
4º CRS,OUREM,162,65,0,0,65
4º CRS,PEIXE-BOI,98,39,0,0,39
4º CRS,PRIMAVERA,149,60,0,0,60
4º CRS,QUATIPURU,141,56,0,0,56
4º CRS,SALINOPOLIS,458,183,0,0,183
4º CRS,SANTA LUZIA DO PARA,260,104,502,0,606
4º CRS,SANTAREM NOVO,91,36,0,0,36
4º CRS,SAO JOAO DE PIRABAS,228,91,0,0,91
4º CRS,TRACUATEUA,488,195,0,0,195
4º CRS,VISEU,649,260,0,0,260
5ºCRS,AURORA DO PARA,287,115,0,0,115
5ºCRS,CAPITAO POCO,737,295,0,0,295
5ºCRS,DOM ELISEU,734,294,0,0,294
5ºCRS,GARRAFAO DO NORTE,723,289,0,0,289
5ºCRS,IPIXUNA DO PARA,553,221,0,0,221
5ºCRS,IRITUIA,388,155,0,0,155
5ºCRS,MAE DO RIO,367,147,0,0,147
5ºCRS,NOVA ESPERANCA DO PIRIA,197,79,0,0,79
5ºCRS,PARAGOMINAS,1987,795,777,18,1590
5ºCRS,SANTA MARIA DO PARA,388,155,286,0,441
5ºCRS,SAO MIGUEL DO GUAMA,653,261,0,0,261
5ºCRS,ULIANOPOLIS,712,285,0,0,285
6º CRS,ABAETETUBA,2377,951,0,0,951
6º CRS,BARCARENA,2228,891,0,0,891
6º CRS,IGARAPE-MIRI,666,266,0,0,266
6º CRS,MOJU,438,175,87,0,262
6º CRS,TAILANDIA,884,354,0,0,354
7ºCRS,AFUA,473,189,0,0,189
7ºCRS,CACHOEIRA DO ARARI,139,56,0,0,56
7ºCRS,CHAVES,203,81,0,0,81
7ºCRS,MUANA,260,104,0,0,104
7ºCRS,PONTA DE PEDRAS,234,94,0,0,94
7ºCRS,SALVATERRA,166,66,0,0,66
7ºCRS,SANTA CRUZ DO ARARI,157,63,0,0,63
7ºCRS,SAO SEBASTIAO DA BOA VISTA,308,123,0,0,123
7ºCRS,SOURE,277,111,0,0,111
8º CRS,ANAJAS,225,90,0,0,90
8º CRS,BAGRE,260,104,0,0,104
8º CRS,BREVES,1132,453,0,0,453
8º CRS,CURRALINHO,239,96,0,0,96
8º CRS,GURUPA,480,192,0,0,192
8º CRS,MELGACO,352,141,0,0,141
8º CRS,PORTEL,425,170,0,0,170
9º CRS,ALENQUER,642,257,0,0,257
9º CRS,ALMEIRIM,440,176,84,0,260
9º CRS,AVEIRO,150,60,310,0,370
9º CRS,BELTERRA,219,88,0,0,88
9º CRS,CURUA,121,48,0,0,48
9º CRS,FARO,217,87,0,0,87
9º CRS,ITAITUBA,1745,698,411,29,1138
9º CRS,JACAREACANGA,267,107,4694,0,4801
9º CRS,JURUTI,765,306,0,0,306
9º CRS,MOJUI DOS CAMPOS,180,72,0,0,72
9º CRS,MONTE ALEGRE,545,218,0,0,218
9º CRS,NOVO PROGRESSO,299,120,691,0,811
9º CRS,OBIDOS,601,240,181,0,421
9º CRS,ORIXIMINA,826,330,1450,0,1780
9º CRS,PLACAS,278,111,0,0,111
9º CRS,PRAINHA,307,123,0,0,123
9º CRS,RUROPOLIS,459,184,0,0,184
9º CRS,SANTAREM,6517,2607,3838,30,6475
9º CRS,TERRA SANTA,245,98,0,0,98
